Abu-Dabi;Азия;ОАЭ;Абу-Даби
Abuja;Африка;Нигерия;Абуджа
Accra;Африка;Гана;Аккра
Addis-Abeba;Африка;Эфиопия;Аддис-Абеба
Almaty;Азия;Казахстан;Алматы
Alzhir;Африка;Алжир;Алжир
Amman;Азия;Иордания;Амман
Amsterdam;Европа;Нидерланды;Амстердам
Andorra la Vella;Европа;Андорра;Андорра-ла-Велья
Antananarivo;Африка;Мадагаскар;Антананариву
Apia;Океания;Самоа;Апиа
Ashgabat;Азия;Туркменистан;Ашхабад
Asmara;Африка;Эритрея;Асмэра
Asuncion;Америка;Парагвай;Асунсьон
Athens;Европа;Греция;Афины
Bagdad;Азия;Ирак;Багдад
Bairiki;Океания;Кирибати;Южная Тарава (Баирики)
Baku;Азия;Азербайджан;Баку
Bamako;Африка;Мали;Бамако
Bandar-Seri-Begavan;Азия;Бруней;Бандар-Сери-Бегаван
Bangi;Африка;ЦАР;Банги
Bangkok;Азия;Таиланд;Бангкок
Banjul;Африка;Гамбия;Банжул
Barcelona;Европа;Каталония;Барселона
Baster;Америка;Сент-Китс и Невис;Бастер
Beijing;Азия;Китай;Пекин
Beirut;Азия;Ливан;Бейрут
Belfast;Европа;Северная Ирландия;Белфаст
Belgrad;Европа;Сербия;Белград
Belmopan;Америка;Белиз;Бельмопан
Berlin;Европа;Германия;Берлин
Bern;Европа;Швейцария;Берн
Bishkek;Азия;Киргизия;Бишкек
Bissau;Африка;Гвинея-Бисау;Бисау
Bogota;Америка;Колумбия;Богота
Bratislava;Европа;Словакия;Братислава
Brazzaville;Африка;Республика Конго;Браззавиль
Bridgetown;Америка;Барбадос;Бриджтаун
Brussels;Европа;Бельгия;Брюссель
Budapest;Европа;Венгрия;Будапешт
Buenos Aires;Америка;Аргентина;Буэнос-Айрес
Buharest;Европа;Румыния;Бухарест
Cardiff;Европа;Уэльс;Кардифф
Castries;Америка;Сент-Люсия;Кастри
Chinval;Азия;Южная Осетия;Цхинвал
Colombo;Азия;Шри-Ланка;Коломбо
Conakry;Африка;Гвинея;Конакри
Copenhagen;Европа;Дания;Копенгаген
Dakar;Африка;Сенегал;Дакар
Damask;Азия;Сирия;Дамаск
Dhaka;Азия;Бангладеш;Дакка
Dili;Азия;Восточный Тимор;Дили
Dodoma;Африка;Танзания;Додома
Doha;Азия;Катар;Доха
Dublin;Европа;Ирландия;Дублин
Dushanbe;Азия;Таджикистан;Душанбе
Edinburgh;Европа;Шотландия;Эдинбург
Erevan;Азия;Армения;Ереван
Freetown;Африка;Сьерра-Леоне;Фритаун
Gaborone;Африка;Ботсвана;Габороне
Georgetown;Америка;Гайана;Джорджтаун
Gitega;Африка;Бурунди;Гитега
Guatemala;Америка;Гватемала;Гватемала
Hanoi;Азия;Вьетнам;Ханой
Harare;Африка;Зимбабве;Хараре
Hargeisa;Африка;Сомалиленд;Харгейса
Havana;Америка;Куба;Гавана
Helsinki;Европа;Финляндия;Хельсинки
Honiara;Океания;Соломоновы Острова;Хониара
Islamabad;Азия;Пакистан;Исламабад
Istanbul;Азия;Турция;Анкара
Jakarta;Азия;Индонезия;Джакарта
Jibuti;Африка;Джибути;Джибути
Johannesburg;Африка;ЮАР;Йоханнесбург
Juba;Африка;Южный Судан;Джуба
Kabul;Азия;Афганистан;Кабул
Kair;Африка;Египет;Каир
Kampala;Африка;Уганда;Кампала
Karachi;Азия;Пакистан;Карачи
Karakas;Америка;Венесуэла;Каракас
Katmandu;Азия;Непал;Катманду
Kiev;Европа;Украина;Киев
Kigali;Африка;Руанда;Кигали
Kingston;Америка;Ямайка;Кингстон
Kingstown;Америка;Сент-Винсент и Гренадины;Кингстаун
Kinshasa;Африка;Демократическая Республика Конго;Киншаса
Kishinev;Европа;Молдавия;Кишинёв
Kito;Америка;Эквадор;Кито
Kualu Lumpur;Азия;Малайзия;Куала-Лумпур
Kuwait;Азия;Кувейт;Эль-Кувейт
Libreville;Африка;Габон;Либревиль
Lilongwe;Африка;Малави;Лилонгве
Lima;Америка;Перу;Лима
Lissabon;Европа;Португалия;Лиссабон
Ljubljana;Европа;Словения;Любляна
Lome;Африка;Того;Ломе
London;Европа;Англия;Лондон
Luanda;Африка;Ангола;Луанда
Lusaka;Африка;Замбия;Лусака
Luxembourg;Европа;Люксембург;Люксембург
Madrid;Европа;Испания;Мадрид
Majuro;Океания;Маршалловы Острова;Маджуро
Malabo;Африка;Экваториальная Гвинея;Малабо
Male;Азия;Мальдивы;Мале
Managua;Америка;Никарагуа;Манагуа
Manama;Азия;Бахрейн;Манама
Manila;Азия;Филиппины;Манила
Maputo;Африка;Мозамбик;Мапуту
Maseru;Африка;Лесото;Масеру
Maskat;Азия;Оман;Маскат
Mbabane;Африка;Эсватини;Мбабане
Mexico;Америка;Мексика;Мехико
Minsk;Европа;Беларусь;Минск
Mogadisho;Африка;Сомали;Могадишо
Monaco;Европа;Монако;Монако
Monrovia;Африка;Либерия;Монровия
Montevideo;Америка;Уругвай;Монтевидео
Moroni;Африка;Коморы;Морони
Moscow;Европа;Россия;Москва
Nairobi;Африка;Кения;Найроби
Nassau;Америка;Багамские Острова;Нассау
Naypyidaw;Азия;Мьянма;Нейпьидо
New Delhi;Азия;Индия;Дели (Нью-Дели)
New York;Америка;США;Нью-Йорк
Ngerulmud;Океания;Палау;Нгерулмуд
Niamey;Африка;Нигер;Ниамей
Nicosia;Азия;Кипр;Никосия
Njamena;Африка;Чад;Нджамена
Nuakshot;Африка;Мавритания;Нуакшот
Nukualofa;Океания;Тонга;Нукуалофа
Oslo;Европа;Норвегия;Осло
Ouagadougou;Африка;Буркина-Фасо;Уагадугу
Palikir;Океания;Микронезия;Паликир
Panama;Америка;Панама;Панама
Paramaribo;Америка;Суринам;Парамарибо
Paris;Европа;Франция;Париж
Phnom Penh;Азия;Камбоджа;Пномпень
Podgorica;Европа;Черногория;Подгорица
Port Louis;Африка;Маврикий;Порт-Луи
Port Moresby;Океания;Папуа — Новая Гвинея;Порт-Морсби
Port of Spain;Америка;Тринидад и Тобаго;Порт-оф-Спейн
Port-au-Prince;Америка;Гаити;Порт-о-Пренс
Port-Vila;Океания;Вануату;Порт-Вила
Porto-Novo;Африка;Бенин;Порто-Ново
Prague;Европа;Чехия;Прага
Praia;Африка;Кабо-Верде;Прая
Pristina;Европа;Республика Косово;Приштина
Pyongyang;Азия;Северная Корея;Пхеньян
Rabat;Африка;Марокко;Рабат
Ramalla;Азия;Государство Палестина;Рамалла
Reykjavik;Европа;Исландия;Рейкьявик
Riga;Европа;Латвия;Рига
Rimini;Европа;Италия;Римини
Rio de Janeiro;Америка;Бразилия;Бразилиа
Riyadh;Азия;Саудовская Аравия;Эр-Рияд
Rome;Европа;Италия;Рим
Roseau;Америка;Доминика;Розо
Saint Georges;Америка;Гренада;Сент-Джорджес
San Jose;Америка;Коста-Рика;Сан-Хосе
San Salvador;Америка;Сальвадор;Сан-Сальвадор
San Tome;Африка;Сан-Томе и Принсипи;Сан-Томе
San-Marino;Европа;Сан-Марино;Сан-Марино
Santiago;Америка;Чили;Сантьяго
Santo Domingo;Америка;Доминиканская Республика;Санто-Доминго
Saraevo;Европа;Босния и Герцеговина;Сараево
Seoul;Азия;Южная Корея;Сеул
Seychelles;Африка;Сейшельские Острова;Виктория
Sidney;Океания;Австралия;Сидней
Singapore;Азия;Сингапур;Сингапур
Skopje;Европа;Северная Македония;Скопье
Sofia;Европа;Болгария;София
St. Johns;Америка;Антигуа и Барбуда;Сент-Джонс
Stockholm;Европа;Швеция;Стокгольм
Sucre;Америка;Боливия;Сукре
Sukhum;Азия;Абхазия;Сухум
Suva;Океания;Фиджи;Сува
Taipei;Азия;Тайвань;Тайбэй
Tallin;Европа;Эстония;Таллин
Tashkent;Азия;Узбекистан;Ташкент
Tbilisi;Азия;Грузия;Тбилиси
Tegusigalpa;Америка;Гондурас;Тегусигальпа
Tehran;Азия;Иран;Тегеран
Tel-Aviv;Азия;Израиль;Тель-Авив
Thimphu;Азия;Бутан;Тхимпху
Tirana;Европа;Албания;Тирана
Tiraspol;Европа;Приднестровская Молдовская Республика;Тирасполь
Tokyo;Азия;Япония;Токио
Toronto;Америка;Канада;Торонто
Tounis;Африка;Тунис;Тунис
Tripoli;Африка;Флаг Ливии Ливия;Триполи
Ulan-Bator;Азия;Монголия;Улан-Батор
Vaduz;Европа;Лихтенштейн;Вадуц
Valetta;Европа;Мальта;Валлетта
Vienna;Европа;Австрия;Вена
Vientiane;Азия;Лаос;Вьентьян
Vilnus;Европа;Литва;Вильнюс
Warsaw;Европа;Польша;Варшава
Wellington;Океания;Новая Зеландия;Веллингтон
Windhoek;Африка;Намибия;Виндхук
Yamoussoukro;Африка;Кот-д’Ивуар;Ямусукро
Yaren;Океания;Науру;Ярен
Yaunde;Африка;Камерун;Яунде
Zagreb;Европа;Хорватия;Загреб